0, 149, 0
7, 146, 316
13, 143, 354
19, 141, 316
22, 134, 273
25, 128, 311
33, 118, 311
42, 107, 305
50, 97, 305
59, 85, 305
67, 73, 300
73, 68, 343
87, 64, 343
95, 65, 27
102, 66, 343
110, 66, 27
117, 67, 343
125, 68, 27
137, 75, 32
142, 81, 75
146, 95, 75
150, 110, 75
153, 124, 81
155, 139, 81
158, 153, 75
161, 167, 81
164, 181, 75
167, 195, 81
170, 209, 75
174, 223, 75
178, 238, 75
182, 251, 70
187, 257, 27
194, 258, 349
209, 255, 349
223, 253, 354
238, 251, 354
244, 248, 311
253, 237, 306
261, 225, 300
269, 212, 300
275, 200, 295
282, 186, 295
287, 173, 289
291, 168, 327
298, 167, 5
304, 165, 327
311, 164, 5
318, 162, 322
329, 153, 316
340, 142, 316
349, 133, 316
359, 123, 311
368, 112, 306
377, 101, 311
387, 90, 311
397, 78, 311
407, 68, 316
413, 65, 354
426, 64, 354
433, 66, 32
439, 67, 354
452, 66, 354
459, 68, 32
470, 76, 37
474, 82, 81
477, 88, 43
488, 99, 43
499, 109, 43
509, 119, 48
519, 129, 43
529, 138, 43
539, 149, 0
